Word	Frequency	Diversity	Clusters	Synsets
one	1181	0.36365817895357533	138	9
say	1045	0.2735856731921662	112	12
make	1044	0.3386596775123679	127	51
very	975	0.3225738110329318	116	4
all	942	0.3391681763120907	126	3
party	785	0.246454403673671	123	6
some	774	0.3488596742051959	103	5
out	747	0.3044188206114494	91	17
about	746	0.3102554034068487	104	8
other	740	0.35164187262838903	102	4
year	722	0.27681582896779267	92	4
work	696	0.31824463063160796	96	34
time	683	0.27778306592607116	89	15
take	658	0.29032696427425275	82	44
many	654	0.350406952333775	89	1
use	646	0.3758292257120599	78	13
only	641	0.39489328075419644	78	9
new	625	0.33576073384810884	95	12
good	584	0.3265969023399151	91	27
go	581	0.2528906542549972	71	35
may	571	0.2824696621482759	79	2
first	552	0.3739865469315674	88	16
see	551	0.3361734381726124	69	25
two	536	0.3826250844038325	75	3
give	528	0.3082946622440419	69	45
like	516	0.32680567970898433	62	11
bank	509	0.24580368277526782	78	18
way	488	0.25232479240464256	68	13
now	483	0.3649537868709468	64	8
paper	479	0.2757378352124451	80	9
even	454	0.3176943665557097	59	14
any	451	0.30250163136542757	64	2
well	449	0.29380352588442993	52	22
come	445	0.26942530234670187	64	22
mr	440	0.2302951612153397	64	1
little	439	0.3333762256717381	52	10
people	426	0.2786488799339288	56	6
need	416	0.29116765620939383	53	7
find	404	0.30087132085442575	57	18
arm	401	0.25189733462867875	71	8
after	394	0.3047130648667866	58	3
get	387	0.2325625658739039	49	37
disc	384	0.25030048090901696	77	4
high	383	0.3292314672941209	52	18
know	383	0.2755282283843383	53	12
think	365	0.24228163832373842	44	14
government	364	0.25390356291684824	47	4
right	363	0.30009113411424554	55	36
plan	358	0.29858460617361576	52	7
show	350	0.3246768721969114	61	16
own	348	0.3054509521531789	55	2
back	344	0.3217445759502433	46	28
look	339	0.2222082930553118	50	14
through	338	0.35278683567245145	43	7
difference	329	0.19781995276628578	48	5
long	329	0.3285333916266998	36	12
world	324	0.3000731736735989	50	9
become	324	0.3055432938555846	49	4
both	323	0.4090274576423965	50	1
audience	322	0.21239779253310853	57	4
group	321	0.32038927276413387	49	5
degree	317	0.2505677556322199	45	7
last	316	0.3377024187888782	37	21
man	315	0.2578381213552228	41	13
part	315	0.3071776929547147	49	18
down	314	0.25868131976106745	41	26
before	314	0.29862805812832616	40	2
late	310	0.3910554344161989	44	11
cent	306	0.16169179723346183	45	2
sort	295	0.2305294524073562	47	6
seem	295	0.22716233595456076	34	4
still	293	0.33411866145117497	43	18
performance	291	0.2957305938955547	51	5
write	290	0.33253282743843376	48	10
labour	290	0.24389165225387635	1	7
argument	289	0.19794323695229535	46	7
just	287	0.3183389561516119	41	10
system	287	0.2803820764913099	46	9
day	285	0.2565963988209317	46	10
life	283	0.25602364664553623	39	14
old	281	0.31707844390481094	41	9
art	279	0.23611939354973188	60	4
place	278	0.3097499778123209	34	32
great	278	0.34005106142411834	43	7
form	277	0.3668557465475603	42	23
far	276	0.33017309411553614	39	10
change	274	0.2916430223118379	41	20
state	273	0.337795204700946	1	11
another	270	0.3793522898598054	35	1
end	270	0.3099088446130185	41	18
image	266	0.25888083753286134	40	11
point	261	0.32951434416746483	39	40
same	261	0.26859252056879107	31	6
off	261	0.2822480257716415	39	9
house	261	0.3221549765129851	42	14
market	257	0.2536581540642712	38	9
must	252	0.24688855519572128	32	4
large	250	0.36133150079498455	32	11
case	247	0.24959364708682555	39	22
though	246	0.28122017204813304	38	1
set	245	0.3395969341351082	34	45
british	244	0.32170006200954254	36	2
shelter	243	0.26628316457093365	31	7
public	242	0.27925302692136994	39	4
leave	242	0.3425721440873359	39	17
while	241	0.31244893857775174	36	1
might	241	0.2517458437527495	34	1
turn	240	0.3216566615438095	35	38
different	239	0.30341112320097824	34	5
want	239	0.23331334589994973	36	9
three	238	0.3724711513750961	39	3
problem	236	0.22572861718221174	36	3
country	236	0.26773558179331364	32	5
play	234	0.3389945813822923	33	52
thing	233	0.21480739466988014	32	12
under	232	0.30989733299861666	34	10
call	232	0.38416160502803437	31	41
service	229	0.2977006949092017	37	18
police	226	0.23206107355691796	42	2
political	223	0.26936725236339704	30	3
tell	222	0.25984838792483667	31	9
include	221	0.40230227469693725	33	4
feel	221	0.24025789122239813	36	17
company	220	0.26280649264421213	34	10
dance	220	0.21463991054282996	1	7
each	217	0.35153641703384686	32	2
hand	216	0.2838997664790794	37	16
policy	214	0.2279056747723219	39	3
lead	214	0.38136803488479476	32	31
provide	212	0.31363157394837	35	7
hold	211	0.3465862362304339	35	45
follow	210	0.3653594765281448	32	24
rather	210	0.3069341074763617	29	4
school	210	0.25082096270340404	35	10
issue	209	0.2778559179617527	34	16
less	209	0.28111099139484946	33	6
book	207	0.2543858621373312	35	15
put	207	0.2612110561936272	34	10
member	205	0.29639612025213596	36	5
help	205	0.28426524360594246	40	12
interest	204	0.23982803892060442	38	10
next	204	0.31291119187260846	30	4
start	203	0.3601848962259281	31	22
move	203	0.3229970850197382	33	21
order	202	0.2893167692180632	35	24
often	202	0.331814343748737	31	3
example	201	0.24450889082506405	34	6
number	199	0.25722209847190963	31	17
support	197	0.34130216730004265	32	22
society	196	0.2565865144510799	33	4
face	196	0.3398591229424743	23	22
atmosphere	195	0.21497042419478293	30	6
view	193	0.2681853476288492	32	13
general	193	0.3682826174948153	35	10
early	192	0.3656173135658358	31	9
national	191	0.3389765642213646	37	8
yet	190	0.31513522550207096	28	6
always	189	0.2994871977899113	27	5
small	187	0.32266896788646937	34	13
line	184	0.28858699968873064	27	36
inter	184	0.21778314420660905	31	1
experience	183	0.26560640443225914	30	8
few	183	0.2753956746006771	29	2
try	183	0.24118154529406935	36	10
begin	182	0.3405185569933569	22	11
child	182	0.26942313797960027	32	4
keep	182	0.28403328691238783	30	25
bring	182	0.28904818489657763	31	11
mean	181	0.3043692296099669	30	16
within	179	0.31780650220796813	31	1
important	178	0.2983023194284975	24	5
side	178	0.2850878561741498	29	14
create	178	0.3179265278657407	30	6
ask	178	0.23444265345665036	32	7
never	178	0.24714375102005687	24	2
pay	178	0.2590657940844695	32	12
away	177	0.24940093205976746	31	14
home	177	0.2984113222170438	25	17
present	176	0.36806749142768863	21	18
study	176	0.31369330598284473	29	16
music	176	0.2563600971383441	39	5
fact	175	0.2233346246798463	26	4
power	175	0.2817649757349953	32	10
local	175	0.32888954772482787	28	5
area	175	0.2844078856009533	27	6
yesterday	174	0.2659707325124974	29	4
head	173	0.3451986112992659	26	42
week	173	0.25389237669450737	24	3
perhaps	172	0.2961387400370585	27	1
run	171	0.3332782303233776	29	57
meet	171	0.331396157701145	28	15
possible	170	0.308928113736435	24	4
believe	168	0.24812563109046532	33	5
four	168	0.394369264367313	27	3
english	167	0.2954648342418653	28	6
again	166	0.306246018615755	29	1
second	165	0.3617034558408206	26	15
here	165	0.2665339385323296	32	7
social	164	0.25452179437511835	22	7
course	162	0.25654623893916356	26	13
term	162	0.30162810749966706	28	8
word	162	0.2457328592500939	29	11
conference	162	0.2263370351781609	30	3
produce	161	0.36434672811206287	29	8
act	161	0.3207614848848831	24	15
action	160	0.26499787892346216	24	12
lose	160	0.28940305157380875	31	11
catholic	159	0.22608291333460262	32	3
woman	158	0.2787966059417915	27	4
low	158	0.32427236508489926	29	16
business	158	0.2957271622189825	25	9
light	156	0.290615506044326	28	47
once	156	0.3004210399910499	24	3
every	156	0.29903568218089976	24	2
offer	155	0.34824547307804316	28	16
control	155	0.3221621753779287	27	19
read	155	0.2731071000687982	30	12
conservative	155	0.2417621702336511	26	7
city	155	0.2794604827212228	21	3
character	154	0.24792423660624258	30	10
record	154	0.30956811809752577	30	13
rate	153	0.2104184120455153	27	7
force	153	0.32263430409206717	28	19
appear	152	0.2811331332932122	23	7
research	151	0.27177395554391165	37	4
deal	151	0.31838284359886065	25	22
easy	151	0.2758061376819162	23	15
london	151	0.3075470238413516	21	2
style	151	0.28816268769790226	24	12
television	151	0.2422415315097457	31	3
sense	150	0.21406816951598087	28	9
open	150	0.343940222831751	24	36
enough	150	0.24729171370924272	30	3
month	150	0.2506657537839009	23	2
idea	148	0.2101094158758539	26	5
building	148	0.3008388940146781	23	14
campaign	147	0.24963826818063625	26	7
young	147	0.30534372271905763	1	14
money	147	0.21090398532471047	1	3
around	147	0.34702655469720023	17	10
britain	147	0.2571331711646059	27	1
particular	146	0.32941058690645375	24	9
mind	146	0.20481687268008605	24	13
base	146	0.3871860645724515	22	30
american	146	0.31224699899586555	29	5
stand	145	0.286835464880625	22	24
full	145	0.35519425396031945	22	13
share	145	0.31080211992358	24	10
attempt	144	0.24973069516528273	26	4
century	143	0.2223900827345918	25	2
remain	143	0.3220643221381558	27	4
movement	143	0.2771129555356004	25	11
able	143	0.19446352071628042	28	4
ballet	143	0.17089759872092247	31	2
wrote	142	0.17333634076285248	1	10
concern	141	0.2757707120986774	26	7
question	141	0.22143481509641694	23	11
kind	141	0.2355455603394098	24	4
final	141	0.37259018655519566	23	5
reader	140	0.22327664183414764	26	8
result	140	0.2953522810641665	21	7
level	140	0.29510599343419436	23	19
quite	140	0.2949714846303464	21	4
understand	140	0.25225327268554043	21	5
body	140	0.2722979596406588	22	12
close	140	0.3277263035413444	22	37
bit	140	0.2652110785787066	19	15
already	139	0.33214397919390426	20	1
draw	139	0.3239132807921172	23	45
stage	139	0.2835377957189962	28	10
class	138	0.32293459590368134	23	9
allow	138	0.33418875258496045	23	10
increase	138	0.30335015765077755	23	7
pub	138	0.21220891734643305	28	1
design	138	0.32257470396050364	23	14
subject	137	0.29150819165922576	24	15
report	137	0.2854521356756484	21	13
name	137	0.35083140331324797	22	15
student	137	0.25971251275758495	24	2
black	136	0.3154304043487	23	22
clear	136	0.3134137856141868	20	45
page	135	0.3222781708849081	20	9
major	134	0.35191650879235986	27	13
front	133	0.292488772553046	24	13
church	133	0.25848571172195506	22	5
whole	133	0.29967094390459825	20	8
effect	132	0.239979383253971	22	8
free	132	0.31479911934261556	23	22
press	132	0.3131677057850291	21	23
five	131	0.36966780473388244	23	4
consider	131	0.3084085492696613	22	9
why	131	0.1949809279080254	22	1
election	131	0.20944768249518217	25	4
source	130	0.27286402742664334	24	11
court	130	0.23711746795038632	26	14
hard	130	0.29500857167992955	20	22
war	129	0.27028182468413553	17	5
require	128	0.29210404896107434	24	4
nothing	128	0.189775470574202	18	2
matter	128	0.24119537071925717	16	7
law	128	0.2507704231602752	20	7
reason	128	0.21361289841212175	20	9
live	128	0.3084312594917515	27	19
information	128	0.2412459310985509	24	5
international	128	0.35508999359131344	24	3
economic	127	0.2573434751091144	21	5
decide	127	0.2652665113371834	21	4
sell	127	0.2828316021760744	25	9
standard	126	0.317663957240495	22	11
suggest	126	0.2607603279444258	26	5
almost	126	0.2933467954723364	19	1
john	126	0.2622224412526506	26	5
night	126	0.2440359873641706	24	8
history	125	0.2546588708653853	16	5
cost	125	0.2387125679482376	26	5
industry	125	0.24589068553060334	24	3
particularly	124	0.366915407760742	22	3
exist	124	0.38241280684512574	22	2
bad	124	0.28914927087717734	18	17
eye	123	0.21157116527652298	23	6
development	123	0.2846357583622298	19	9
minister	122	0.222729869387297	19	6
talk	121	0.2595423464331572	22	11
approach	121	0.30473120683514	22	14
