Word	Frequency	Diversity	Clusters	Synsets
rise	121	0.2981385149414433	15	27
film	121	0.30461904785567184	20	7
dancer	120	0.18345119175253705	25	2
big	120	0.288745122747683	21	17
round	119	0.29657017750330483	23	25
today	119	0.3047524607676095	19	4
rule	118	0.2855153588490831	26	19
position	118	0.27713435980938084	22	18
above	118	0.301239977041895	19	4
top	118	0.31641396455945003	23	22
process	117	0.2636676821562002	25	13
cover	117	0.3564171145151108	19	36
grow	117	0.331466599768069	19	10
white	117	0.33804722482527777	24	25
strong	116	0.34299873352476784	17	10
pound	116	0.2341312722236309	16	22
half	116	0.31320403762328125	17	6
union	116	0.2553191259477303	21	13
past	115	0.2906200614155872	18	6
family	115	0.2969009085148895	15	8
leader	115	0.25766627623699045	21	2
expect	115	0.28201582186289786	19	6
continue	115	0.2978809281720514	21	10
price	115	0.23445797163030868	20	9
involve	114	0.33666556584702284	19	7
return	114	0.33227040916653555	21	29
european	114	0.31158239124011333	24	2
artist	113	0.23445743616405018	23	1
along	113	0.3021692126658609	18	5
type	113	0.3146035935054365	25	8
real	113	0.3189010600777126	18	13
cut	113	0.31701738607709756	19	70
individual	112	0.326913088479342	22	6
fall	112	0.2942384638860664	19	44
east	112	0.31478680808991605	15	7
programme	111	0.29361365483026186	23	9
either	110	0.40245417546845474	18	1
authority	110	0.2477705957796443	22	7
behind	110	0.2817194159853529	22	7
main	109	0.3015525278243013	20	5
together	109	0.27159887774098856	23	7
car	109	0.27215480348809346	17	5
step	109	0.2903113170142608	21	21
review	109	0.24392305321895186	19	15
sound	108	0.3133200984818661	20	24
wide	107	0.32527023073572636	20	11
university	107	0.2678994460211531	1	3
reach	107	0.3290894923505494	16	13
sit	107	0.20781637833123762	25	10
picture	106	0.24128325324285363	17	12
criticism	106	0.17705715357265714	20	3
raise	106	0.31405213547543614	15	31
claim	106	0.3100760883848521	23	11
publish	106	0.29346256487017697	16	3
accept	106	0.3076611782637664	17	11
modern	106	0.3337764093121594	18	7
add	106	0.2855545755090697	20	7
vote	105	0.21834787611752715	21	10
ever	105	0.30186403768833997	13	3
train	105	0.32089098576591596	15	17
period	104	0.25521215682981624	17	7
west	104	0.33075873383924165	18	10
hope	104	0.2673793423911412	21	9
account	103	0.2862631847053243	16	14
irish	102	0.24671825498079852	23	4
french	102	0.3564684413893979	19	5
probably	102	0.35283285061028596	15	2
carry	102	0.31789392987441056	15	41
special	102	0.33509816330549813	19	10
happen	101	0.17521755471730635	14	5
lie	101	0.2842153300678935	23	10
road	101	0.2565992529350823	20	2
de	101	0.2952183581683111	18	1
lord	101	0.19788833321472935	20	4
figure	101	0.2936030590588582	19	18
office	101	0.27094452161066496	18	7
value	100	0.25498755216272234	22	11
difficult	100	0.20326525639448234	25	2
short	100	0.33147357819794193	15	23
especially	100	0.3458273903158332	14	2
attention	99	0.17689202020115843	16	6
material	99	0.26274128036149785	17	11
self	99	0.2386172845362502	15	3
council	99	0.23739735289675137	18	3
range	98	0.300125644154957	17	17
despite	98	0.22031776924052535	15	2
organization	98	0.25827328369712194	14	7
several	97	0.376735826705193	16	3
necessary	97	0.24509671203114494	22	3
health	97	0.2624274831902431	19	2
letter	97	0.2386517666776975	19	8
project	97	0.3168479237893106	17	14
demand	97	0.2891247352934408	15	11
agree	97	0.20217224364692787	17	7
centre	96	0.3293672221239695	17	11
structure	96	0.29962021855659865	22	6
quality	96	0.2777241735201905	19	7
sure	96	0.22159265719159618	22	10
detail	96	0.272123697825922	16	7
traditional	95	0.30815120683453	17	2
person	95	0.23508985658615963	16	3
committee	95	0.22551258571808552	18	2
central	94	0.339195733573973	16	3
trade	94	0.2761490239344477	14	12
ireland	93	0.2020471099282866	17	2
north	93	0.31769436207550483	22	9
future	93	0.2949257952798662	19	7
moment	93	0.19983690965759987	17	6
let	93	0.2197730358160035	16	8
explain	93	0.25481147805521204	15	3
serious	93	0.3463511739175873	16	6
represent	93	0.33533520036669734	15	15
indeed	93	0.301215141495125	17	2
receive	93	0.32983523998394415	16	13
room	93	0.20161684861492452	15	5
love	92	0.27773945298831915	13	10
age	92	0.29103229084873933	16	8
south	92	0.32603976109391236	16	7
tree	92	0.19473063894872164	15	7
across	91	0.28792214448476605	14	2
remember	91	0.23899186821386662	18	8
true	91	0.3105614443237601	15	15
spend	91	0.2810055645963021	14	3
story	91	0.23725034882369586	14	6
water	91	0.24501316040216004	13	10
available	90	0.2710095563472666	19	3
influence	90	0.29617457775620554	16	8
drive	90	0.3436106350433666	16	34
theory	90	0.19692710053726448	18	3
develop	90	0.3371561078943619	16	21
management	90	0.27345330281912555	16	2
scheme	90	0.2496673695644445	17	7
foot	90	0.23350085347033023	1	14
practice	89	0.26257428309355896	17	10
thus	89	0.31223591125694505	17	3
certain	89	0.3629692275989949	14	7
simply	89	0.32967880757825513	16	4
list	89	0.32731684714815806	17	7
apply	89	0.2833064183490348	13	10
principle	89	0.23148107699386247	14	6
really	89	0.31317054960050206	13	4
learn	89	0.22109440588719592	17	6
role	89	0.2568436771074384	18	4
england	89	0.30513145014763315	16	1
fund	89	0.2677456809289088	19	9
legal	89	0.28374662671715234	16	5
foreign	89	0.2980306920455326	18	4
argue	88	0.1812160947262156	18	3
difficulty	88	0.2028085282870666	16	4
third	88	0.3675792941908458	23	8
hear	88	0.27683905361092104	15	5
voice	88	0.24832189032864124	18	13
wrong	88	0.24474825802948694	15	13
technique	88	0.2533612629151778	18	2
buy	88	0.27610754387708275	15	6
pass	87	0.32717327044001676	16	43
reduce	87	0.3022678013549253	17	20
nature	87	0.26353861410018403	10	5
usually	87	0.35577829652376103	14	1
actual	87	0.3915825977919752	17	5
manage	87	0.35685297596974364	1	7
air	87	0.2869899650335275	14	15
friend	87	0.2531870198307892	13	5
section	87	0.34470053887968605	16	15
attack	87	0.29019110616902294	14	15
street	86	0.24543562235605895	15	5
feature	86	0.36083539472885506	16	8
limit	86	0.3265815038764582	16	9
piece	86	0.27290573128434475	12	18
job	86	0.23452761483388784	17	17
german	86	0.31966928114232723	20	3
bar	86	0.2980488499859362	15	19
ground	85	0.25906744008790855	16	30
break	85	0.29057672537516505	15	75
mere	85	0.3071893028626157	15	3
private	85	0.2969168530292984	13	5
event	85	0.2658924870936959	15	4
plant	85	0.2849017173601296	14	10
critic	84	0.21468698091454858	16	3
contain	84	0.3112225561801484	16	6
politics	84	0.20990047632361436	16	5
human	84	0.2826794565922389	16	4
certainly	84	0.2770632377821367	14	1
build	84	0.32311420062975366	16	12
mark	84	0.3913122910333057	13	30
stop	84	0.2863171433270071	19	22
proposal	83	0.23445641819128754	20	3
community	83	0.2980845777350474	16	6
literature	83	0.1989689856156091	20	4
academic	83	0.2563326367553895	18	4
land	83	0.3024259628975756	13	18
likely	83	0.2329022065412392	15	5
sometimes	82	0.32847803848379037	18	1
decision	82	0.21305670720802855	14	5
secretary	82	0.23293643385413315	16	4
field	81	0.31674884109743506	14	21
former	81	0.40171129604310535	16	5
doubt	81	0.17694154640957893	15	4
prepare	80	0.27551888459643886	15	8
activity	80	0.25564304899122897	10	6
choose	80	0.28772393686799924	19	3
financial	80	0.2518906190455959	14	1
appeal	80	0.25465923440118976	12	9
tax	80	0.16997858629588655	17	5
judgment	80	0.19764133575931647	13	7
commission	79	0.26050377390792834	17	12
similar	79	0.3171121800597813	12	5
perception	79	0.1907229448508132	11	5
education	79	0.24628534003247002	16	6
officer	79	0.22902467642724403	19	5
hour	79	0.20286397773696457	11	4
knowledge	79	0.18431640631566862	14	1
computer	79	0.24984682944569936	18	2
fail	79	0.24434652828135345	16	11
match	79	0.3573938938540337	14	19
department	79	0.2666586703033546	13	3
slight	79	0.3203007984768764	17	5
common	78	0.33432977284057064	16	10
official	78	0.3363158414850533	13	7
recent	78	0.2767121975779152	13	3
near	78	0.3704502777807386	13	9
sir	78	0.1966995565569076	16	2
express	77	0.3039035361498433	15	13
therefore	77	0.33805603275806845	13	2
establish	77	0.35047521325800285	14	8
poetry	77	0.18248087775893634	19	2
sign	77	0.33120394644938017	12	20
chairman	77	0.22456575570075724	13	2
minute	77	0.22796301541451208	13	8
single	76	0.363462967387944	14	10
speak	76	0.22000100761756589	16	5
charge	76	0.2822892044354627	15	40
perform	76	0.2950588702230332	19	4
original	76	0.33068785861977357	16	6
test	75	0.29854825714296607	15	13
clearly	75	0.3086570993683889	14	4
teach	75	0.2794292508109364	16	3
lack	75	0.2414194549987199	14	2
team	75	0.31951019964156896	11	3
win	75	0.3126867798682017	16	6
article	75	0.2464034139683389	16	5
medium	75	0.25549150944047605	19	13
staff	75	0.28030941989180397	14	8
door	75	0.21006569680547224	1	5
choreographer	75	0.1574080142747348	18	1
note	74	0.2926039482358928	1	13
non	74	0.3281235663595252	14	1
reference	74	0.262381357723755	18	11
print	74	0.2894454461512434	20	11
wind	74	0.23086382955477697	13	15
colour	73	0.2829870450818325	13	15
wish	73	0.2448361996804511	16	10
cause	73	0.34036815918355645	10	7
green	73	0.32698112730162593	11	14
machine	73	0.2161111467039304	19	8
ashton	73	0.20368137245681084	14	1
uk	73	0.33298331433766176	12	1
anti	72	0.27434313679694483	15	2
table	72	0.27207052686007405	13	8
exercise	72	0.2889162856944572	16	10
production	72	0.2899186507777976	16	8
news	72	0.23275722504824792	16	5
theatre	72	0.21646059060947462	15	3
aim	71	0.28968366262027684	13	11
wood	71	0.25496906303763023	13	8
condition	71	0.24190591868344152	11	13
dog	71	0.21545870152371072	15	8
actor	71	0.21165756387987708	17	2
join	71	0.3227495290860894	11	7
space	71	0.24973647166328705	16	10
aspect	70	0.20242030651178058	13	5
protestant	70	0.2286508519807383	13	4
popular	70	0.337019484895106	14	4
food	70	0.22011118487093184	15	3
instead	70	0.3088246366609798	12	2
product	70	0.2895050283553165	15	6
ago	70	0.20332711434599957	11	2
current	70	0.37920278540295155	11	4
wall	70	0.21232450581134008	14	9
left	70	0.3138819506026151	13	24
river	70	0.20420459547243858	15	1
outside	69	0.32058666326077934	15	14
replace	69	0.32761516482962133	17	4
director	69	0.28732879863023414	13	5
cultural	69	0.25079374931478665	13	4
lot	69	0.20584166677056803	12	9
post	69	0.3193627115158872	11	23
literary	69	0.21872449600914196	14	3
leg	69	0.21832384898119914	16	9
announce	69	0.27896611480726363	13	4
theme	69	0.22821882609657618	16	6
us	68	0.30305277502223116	12	4
unit	68	0.3300231986532598	11	6
enter	68	0.28536911225159783	18	9
watch	68	0.24709942296437876	13	13
sport	68	0.2668106761148942	13	9
fine	67	0.3437527565948928	13	10
natural	67	0.2830655752606162	15	13
co	67	0.31850074111566573	13	4
seek	67	0.24979028749632948	12	6
prime	67	0.2247726025183236	13	12
girl	67	0.20809286051951645	15	5
board	67	0.28584894138629596	13	13
religious	66	0.250956697409781	10	5
gain	66	0.3462779414037242	12	13
means	66	0.27680419528242145	13	11
independent	66	0.35023306212223626	13	6
object	66	0.2870374609041851	12	7
notice	66	0.28531360449249193	12	11
someone	66	0.22952540238203403	11	1
amount	66	0.2513108517545155	14	7
six	66	0.37478594844840085	13	3
soon	65	0.3269837900799438	11	1
direction	65	0.2502231238147097	12	9
speech	65	0.23127894253460782	12	8
according	65	0.24251905920874137	11	4
normal	65	0.40045670967601316	13	5
relation	65	0.2529789426119269	13	6
david	65	0.24944709313404828	10	3
surface	65	0.2972463526426446	10	10
agreement	65	0.18501891416390873	13	6
sale	65	0.24946206836317	13	5
debate	64	0.19617318439217835	12	6
defence	64	0.27014702144888403	14	11
personal	64	0.3227797536534086	10	6
chance	64	0.20007673346878677	14	9
fit	64	0.279561328404008	14	16
potential	64	0.29872081976407905	14	4
element	64	0.26495004480451145	11	7
send	64	0.29690859686345306	13	8
executive	64	0.27528212109198186	14	4
scene	64	0.2442162094070732	11	10
europe	64	0.2290207406125681	9	3
serve	64	0.32200206185162744	14	16
walk	64	0.2187957490869512	13	17
evidence	63	0.1782586675791708	11	6
basis	63	0.22862141007792178	14	3
beyond	63	0.2586075936211405	10	3
sudden	63	0.29854196214238177	13	1
surprise	63	0.24299214407140193	9	6
complete	63	0.38695948334190033	13	10
rest	63	0.3019596666233211	10	18
purpose	63	0.23133702462415506	10	5
quickly	63	0.3234430653820464	9	3
mother	63	0.24788476425277456	11	7
shape	63	0.2796733688583841	11	11
benefit	62	0.2554013422460301	11	5
favour	62	0.2930342348261955	10	9
direct	62	0.3571975102662017	14	24
task	62	0.2292004385188748	15	4
version	62	0.25652593255990264	12	6
player	62	0.2810970565168604	11	5
text	62	0.20771018406292338	17	4
loss	62	0.25698513120339517	11	8
president	62	0.2869965816235697	12	6
compare	62	0.2772207737807743	12	5
series	62	0.3340843466517698	15	7
classical	62	0.2405687907018513	14	6
choice	61	0.22784214426800703	14	5
author	61	0.2508203191819096	12	3
prefer	61	0.30027172725104856	13	4
further	61	0.33714105142729445	11	11
mental	61	0.1576257498814935	15	5
profit	61	0.1890876130604957	12	4
chief	61	0.28269085604797645	13	4
mrs	61	0.21511810350930724	12	2
million	61	0.24621088071943592	13	3
slowly	61	0.22068004712681613	1	2
town	61	0.26370606392834806	12	4
response	60	0.2420326094725486	15	7
variety	60	0.28790345362578224	12	6
stock	60	0.29497128629399655	11	27
touch	60	0.31611015586023233	12	27
pull	60	0.3152814628348016	11	24
deep	60	0.2964133467066966	7	21
unite	60	0.3146927976803853	12	6
reveal	60	0.285970841078955	10	3
opposition	59	0.22942971376881255	16	8
roman	59	0.26860752697650914	12	7
pressure	59	0.23497723136587187	12	9
culture	59	0.2285176583708723	17	8
bear	59	0.35100824212903237	13	15
twenty	59	0.31247477669393603	12	3
care	59	0.23788415754280326	12	11
brain	59	0.19715562590401395	12	7
operation	59	0.26792821049777854	13	11
security	59	0.29690063918077125	1	9
apart	59	0.2827885392696922	7	8
peter	59	0.23951434700276086	9	2
size	59	0.2583647677374847	13	9
nearly	59	0.30189731327991876	13	2
intellectual	58	0.23722221613110192	11	4
aware	58	0.1460874458078278	11	2
northern	58	0.2609671905701699	13	5
fear	58	0.24179661222726703	13	8
access	58	0.23638088072738622	12	8
professional	58	0.32457732766675385	9	8
death	58	0.245676556822812	9	8
cross	58	0.3366817775635925	11	16
industrial	58	0.285623588231577	10	4
horse	58	0.23370175146373892	12	6
commercial	58	0.34433171274946833	15	4
copy	58	0.2572279653751208	11	8
slip	58	0.2990990857291974	15	26
simple	57	0.30155628582150756	10	9
obtain	57	0.313498342110758	12	3
box	57	0.2676490699727506	14	13
situation	57	0.2311753645933217	9	5
middle	57	0.26773505537367	9	9
drink	57	0.237357871644393	12	10
speed	57	0.2536982722411175	11	10
hundred	57	0.3042870119494165	8	2
nuclear	57	0.1992412695334443	12	4
respect	57	0.2707517768132765	8	9
game	57	0.2853952566074033	15	14
various	57	0.35250327264229697	10	4
worker	57	0.24577559187696887	11	4
freedom	56	0.2101333482293796	13	2
measure	56	0.31614864817997645	11	13
concept	56	0.23458872628949548	12	1
basic	56	0.3243642039961407	12	6
significant	56	0.2953588652304558	8	4
risk	56	0.22986167957730105	10	6
block	56	0.33692984597219383	13	28
ten	56	0.3576011669213778	13	3
reality	56	0.2024920735096309	12	4
language	56	0.24026690336191575	10	6
data	56	0.22344117772830172	15	2
route	56	0.2566051185815585	11	5
convince	56	0.3129056059939825	12	1
poor	56	0.295673579343753	13	7
date	56	0.31430110933458255	10	13
visit	56	0.31941343655125387	8	13
mood	56	0.198734872254911	13	3
firm	56	0.3184493520063429	13	14
civil	55	0.2390685007917772	13	6
forward	55	0.30018120706913365	13	12
maintain	55	0.28356720648314804	15	10
physical	55	0.2393796358171615	11	7
affect	55	0.291612994976373	11	6
majority	55	0.19901000616959902	14	3
catch	55	0.3053622588124115	11	39
village	55	0.2885621842077429	7	3
gesture	55	0.18291784148368664	15	4
institution	55	0.22229184021694137	11	5
income	55	0.20261202127765646	12	1
effective	55	0.3388023100772473	11	6
description	54	0.22843640269463497	9	3
fight	54	0.30818471560921945	15	9
boy	54	0.21768417463856315	10	4
morning	54	0.19125852381509606	15	4
ability	54	0.21004967147766904	11	2
remove	54	0.3198959112930971	11	9
association	54	0.28967171043797446	12	8
wear	54	0.2655174052402119	10	12
critical	54	0.2861716945654564	12	7
identify	54	0.3291280221235598	14	6
heavy	54	0.34521891462200427	14	30
opportunity	54	0.21337620701614565	12	1
achieve	54	0.2849820686807567	11	1
leadership	54	0.22234448978112328	15	4
height	54	0.25764554206046564	8	4
strike	54	0.3054033710155683	10	27
organizations	54	0.22640580863043708	8	7
avoid	53	0.2606129514851737	9	5
throw	53	0.27679077404224933	7	20
relationship	53	0.22095928693415134	12	4
vary	53	0.3335561693325547	9	4
