Word	Frequency	Diversity	Clusters	Density	Synsets	WikiFreq
beneficial	5	0.16375342622187813	3	0.5403748872636487	1	705
diet	3	0.1477240302325371	2	0.45945932212091833	6	14612
framework	13	0.21149699802376382	4	0.5052662358744894	3	589
wag	5	0.24532533882311996	3	0.6064049609034938	3	456
correspond	5	0.18402933748586692	2	0.575102250770145	4	276
freudian	5	0.1792611982527383	3	0.48354798055975756	2	1856
irrelevance	3	0.14711885444427597	2	0.7684100351203519	1	53
jordan	6	0.2585758129618054	2	0.5863233214602837	2	6381
primacy	4	0.13729300160010635	2	0.6486264592851323	1	534
rhythmic	9	0.15876070633808054	4	0.5225587670193851	1	7237
computerised	5	0.13988231012269295	3	0.5471892927674356	3	711
subcontinent	3	0.07078735590159053	2	0.6758309749312589	1	1526
inch	44	0.18446436416676953	10	0.4141653088363963	3	34
scope	15	0.2260821312571793	4	0.4711422954559716	4	396
done	4	0.09292710398804341	2	0.7683821335965058	15	215
cooke	3	0.16412045056337443	2	0.6939942958724306	2	197
modernise	10	0.2535486950585793	3	0.6161920318173517	2	302
sea	37	0.2425765207428733	6	0.4097103086796248	3	944
victory	33	0.26029793011155966	7	0.5083415859862659	1	1920
keep	182	0.28403328691238783	30	0.38839103745252274	25	71
marry	24	0.27370214468327553	6	0.35344647780342736	2	5882
overall	47	0.33701243431122496	10	0.4943103843216183	4	110
powerless	4	0.16424517000861474	2	0.4290387643699644	1	4130
fierce	9	0.23332247377196472	2	0.5584946678746999	4	24102
peck	3	0.2192382592722633	2	0.6831299845326098	8	4343
right	363	0.30009113411424554	55	0.43278541221573974	36	24601
steel	25	0.2507285610619251	5	0.38867598428099825	5	1054
mankind	6	0.20378950841034368	3	0.5240389157492266	1	49
societies	15	0.18795408060266156	5	0.39404245846308333	4	9235
duplicate	4	0.14062795005720474	2	0.6990072933296253	8	81
strategy	28	0.2139837796578821	8	0.492412575202597	2	29102
gift	23	0.2686732350300434	6	0.5336639910048434	5	66
wife	36	0.2291739771595478	5	0.39609859614250087	1	561287
beef	4	0.11140891102429787	2	0.7524030226415597	4	48
sermon	3	0.10850134490575614	2	0.6172505224317785	2	6722
digitise	3	0.10703006010372906	2	0.7944775522703075	1	400
disperse	7	0.16755076158747942	2	0.6529877262520882	6	215
unchanged	3	0.14138602349351334	2	0.5263478081020335	2	14723
contemporary	44	0.29272251054985915	10	0.40155427701906476	4	96416
trap	15	0.2641872591524735	3	0.4199861593064774	12	232
pc	14	0.2105325954187696	5	0.4932087848593065	1	1570
bass	13	0.2532218254490176	4	0.5431120990373635	9	110
photographer	3	0.17576534811427394	2	0.6407967988884571	1	6529
consult	11	0.27604703483957527	3	0.4788816524241423	4	4404
compel	3	0.0034843277531125074	2	1.0	2	91
residential	6	0.18099056537985367	2	0.4891789236458299	2	12371
concede	6	0.20784180495490756	2	0.5133369095187693	4	4285
slowly	61	0.22068004712681613	1	0.48795341541019194	2	55159
rio	8	0.19632192648455712	4	0.6336112681613453	1	206
adequate	19	0.2573478608177898	4	0.4737057181894068	3	2222
laser	5	0.17256029217777674	3	0.5722991649926863	1	11843
translation	7	0.1503723079592729	3	0.5058485133500604	7	52
sketch	13	0.2703237945539727	4	0.3689326029890889	6	15648
treasure	6	0.1974024407092189	3	0.6061405109518148	6	7774
charity	25	0.2371355789018993	9	0.42143192145710284	5	33944
society	196	0.2565865144510799	33	0.4240318004494988	4	106
lobby	15	0.298871072726455	4	0.4789271248633685	4	933
poetry	77	0.18248087775893634	19	0.4648338601532163	2	100
item	22	0.22987194758365428	4	0.3952171529703414	6	146027
superficially	3	0.17002570685504867	2	0.6529228290458859	1	199
organizations	54	0.22640580863043708	8	0.4715185070605654	7	70340
albania	3	0.18261814933840104	2	0.48330650088404387	1	764
typically	19	0.35062053254105136	5	0.47086125912817944	1	191840
hay	3	0.1787403342934719	2	0.4675901247220308	2	9500
compound	12	0.3043354869230878	5	0.5316545981083975	11	5823
unable	32	0.16896133599980107	8	0.475809637536439	3	9470
gust	4	0.11736173837624589	2	0.6361751670140294	1	924
purity	3	0.13364380789152155	2	0.5695889661722467	3	2566
kenya	3	0.11408340157294816	2	0.5677340347859212	1	70
disregard	8	0.16639775619912817	2	0.6291827261579164	5	510
administration	38	0.24821223022815553	9	0.48635187111609374	6	1001
factory	22	0.268644393224271	4	0.47677372836148535	1	2735
leach	3	0.2506798215795841	2	0.5668863107103441	4	2836
stationary	3	0.20212756473973345	2	0.7310815571636512	2	1129
raconteur	4	0.14335274048781757	2	0.7296043388833101	1	475
ec	13	0.24205541515729462	3	0.5463715067657244	1	961
noble	9	0.24400390482080928	3	0.4730003905866623	5	125
caterer	8	0.20798906819594584	3	0.5216031684916194	1	494
coherent	6	0.19767518964362688	3	0.5122373184355868	4	728
discern	6	0.1745759661024631	3	0.6664170138598293	1	161
turbulent	3	0.16855563280406768	2	0.6859395899188195	2	1057
afghan	7	0.18512386405232828	2	0.5308895881911113	6	128
individuality	6	0.1475322258925524	3	0.6510671402709157	2	248
communal	9	0.22270285418918867	3	0.6943832246928742	2	2998
address	41	0.30839437069124	8	0.4365392626166354	18	219466
norris	7	0.22014021235098816	4	0.5336066992271707	1	22101
marxism	5	0.11494615864758602	3	0.6104651633409591	1	92
dry	53	0.2775604841556001	11	0.43709398625346235	19	1607
tumble	3	0.1655026127681735	2	0.7524982915617837	13	1174
attain	9	0.2451787799771978	4	0.49182243591620417	4	438
hobby	4	0.1973533878013265	2	0.46796763279669723	3	4855
estuary	3	0.12965567346847592	2	0.5038317251215367	1	334
plain	20	0.28059610426312964	6	0.43833752963204264	11	33717
financial	80	0.2518906190455959	14	0.42383222393521774	1	264
philharmonic	4	0.08615285130908587	1	0.601508583432837	3	324
